instance_id,run,status,submitted,turns,tok_in,delta_turns,delta_tok_in,outcome_change
board_rollup_001,all_custom_run_v6,submitted,True,7,25227,0,0,unchanged
board_rollup_001,all_custom_run_v7,submitted,True,5,18210,-2,-7017,unchanged
budget_snapshot_001,all_custom_run_v6,reviewer_rejected,False,14,92306,0,0,unchanged
budget_snapshot_001,all_custom_run_v7,reviewer_rejected,False,11,77141,-3,-15165,unchanged
contact_card_001,all_custom_run_v6,reviewer_rejected,False,15,58169,0,0,unchanged
contact_card_001,all_custom_run_v7,reviewer_rejected,False,16,77677,1,19508,unchanged
digest_preview_001,all_custom_run_v6,reviewer_rejected,False,13,90527,0,0,unchanged
digest_preview_001,all_custom_run_v7,reviewer_rejected,False,18,96371,5,5844,unchanged
incident_brief_001,all_custom_run_v6,submitted,True,8,31813,0,0,unchanged
incident_brief_001,all_custom_run_v7,submitted,True,8,30492,0,-1321,unchanged
invoice_footer_001,all_custom_run_v6,submitted,True,5,18927,0,0,unchanged
invoice_footer_001,all_custom_run_v7,submitted,True,8,69236,3,50309,unchanged
label_formatter_001,all_custom_run_v6,submitted,True,5,27637,0,0,unchanged
label_formatter_001,all_custom_run_v7,submitted,True,5,27837,0,200,unchanged
median_window_001,all_custom_run_v6,submitted,True,4,17898,0,0,unchanged
median_window_001,all_custom_run_v7,submitted,True,5,16492,1,-1406,unchanged
milestone_rollup_001,all_custom_run_v6,reviewer_rejected,False,4,11264,0,0,unchanged
milestone_rollup_001,all_custom_run_v7,submitted,True,5,31473,1,20209,improved
nested_app_001,all_custom_run_v6,submitted,True,6,32783,0,0,unchanged
nested_app_001,all_custom_run_v7,submitted,True,7,52393,1,19610,unchanged
owner_recap_001,all_custom_run_v6,submitted,True,12,57187,0,0,unchanged
owner_recap_001,all_custom_run_v7,reviewer_rejected,False,12,108364,0,51177,regressed
owner_sort_001,all_custom_run_v6,submitted,True,4,13720,0,0,unchanged
owner_sort_001,all_custom_run_v7,submitted,True,4,13846,0,126,unchanged
priority_snapshot_001,all_custom_run_v6,reviewer_rejected,False,5,14185,0,0,unchanged
priority_snapshot_001,all_custom_run_v7,submitted,True,6,23504,1,9319,improved
renewal_preview_001,all_custom_run_v6,reviewer_rejected,False,15,68791,0,0,unchanged
renewal_preview_001,all_custom_run_v7,submitted,True,9,35110,-6,-33681,improved
risk_score_001,all_custom_run_v6,submitted,True,4,21869,0,0,unchanged
risk_score_001,all_custom_run_v7,submitted,True,4,14342,0,-7527,unchanged
shipment_preview_001,all_custom_run_v6,reviewer_rejected,False,15,78456,0,0,unchanged
shipment_preview_001,all_custom_run_v7,reviewer_rejected,False,17,113045,2,34589,unchanged
simple_mean_bug_001,all_custom_run_v6,submitted,True,4,21638,0,0,unchanged
simple_mean_bug_001,all_custom_run_v7,submitted,True,4,21584,0,-54,unchanged
status_slug_001,all_custom_run_v6,submitted,True,4,13161,0,0,unchanged
status_slug_001,all_custom_run_v7,submitted,True,4,13298,0,137,unchanged
team_digest_001,all_custom_run_v6,submitted,True,11,50381,0,0,unchanged
team_digest_001,all_custom_run_v7,submitted,True,11,66751,0,16370,unchanged
workspace_digest_001,all_custom_run_v6,submitted,True,9,38461,0,0,unchanged
workspace_digest_001,all_custom_run_v7,submitted,True,9,37814,0,-647,unchanged
