instance_id,status,submitted,stopped_reason,turns,time_s,tok_in,tok_out,loops,vote_edits,vote_samples,patch_lines,checks_satisfied,coder_rounds,reviewer_decision_r1,reviewer_decision_r2,planner_tok_in,coder_tok_in,reviewer_tok_in
board_rollup_001,SUBMIT,True,auto_finalized,5,154.0,18210,901,0,1,2,2,1,1,accept,,636,17574,0
budget_snapshot_001,reviewer_rej,False,reviewer_rejected,11,521.8,77141,3639,0,0,0,2,0,2,revise,revise,680,73526,2935
contact_card_001,reviewer_rej,False,reviewer_rejected,16,426.7,77677,2102,0,0,0,5,1,2,revise,revise,575,74976,2126
digest_preview_001,reviewer_rej,False,reviewer_rejected,18,354.8,96371,1182,0,0,0,2,1,2,revise,revise,741,93414,2216
incident_brief_001,SUBMIT,True,auto_finalized,8,149.9,30492,1139,0,1,2,2,1,1,accept,,692,29800,0
invoice_footer_001,SUBMIT,True,auto_finalized,8,260.3,69236,2382,0,2,5,4,1,1,accept,,556,68680,0
label_formatter_001,SUBMIT,True,auto_finalized,5,172.7,27837,1683,0,1,5,5,1,1,accept,,554,27283,0
median_window_001,SUBMIT,True,auto_finalized,5,87.5,16492,445,0,1,2,2,1,1,accept,,519,15973,0
milestone_rollup_001,SUBMIT,True,auto_finalized,5,169.3,31473,1078,0,1,1,2,1,2,revise,accept,549,30501,423
nested_app_001,SUBMIT,True,auto_finalized,7,204.5,52393,1709,0,0,0,15,1,1,accept,,644,51749,0
owner_recap_001,reviewer_rej,False,reviewer_rejected,12,486.9,108364,3042,0,2,7,6,0,2,revise,revise,739,104818,2807
owner_sort_001,SUBMIT,True,auto_finalized,4,108.0,13846,583,0,1,2,2,1,1,accept,,530,13316,0
priority_snapshot_001,SUBMIT,True,auto_finalized,6,163.3,23504,702,0,1,2,2,1,2,revise,accept,573,22508,423
renewal_preview_001,SUBMIT,True,auto_finalized,9,293.0,35110,1020,0,1,2,2,3,2,revise,accept,607,33311,1192
risk_score_001,SUBMIT,True,auto_finalized,4,96.6,14342,434,0,1,2,2,1,1,accept,,527,13815,0
shipment_preview_001,reviewer_rej,False,reviewer_rejected,17,418.1,113045,1767,0,3,9,2,2,2,revise,revise,676,110171,2198
simple_mean_bug_001,SUBMIT,True,auto_finalized,4,106.8,21584,496,0,1,5,2,1,1,accept,,573,21011,0
status_slug_001,SUBMIT,True,auto_finalized,4,105.9,13298,564,0,1,2,2,1,1,accept,,523,12775,0
team_digest_001,SUBMIT,True,submitted,11,299.6,66751,2527,0,2,6,4,1,1,accept,,548,65242,961
workspace_digest_001,SUBMIT,True,auto_finalized,9,167.0,37814,1128,0,1,2,2,1,1,accept,,758,37056,0
